,name,year,id,evening_ratio,departure_count,arrival_count,latitude,longitude
0,MLK Jr Dr & Oakwood Blvd,2018,179,17.5,2,35,41.822559999999996,-87.61615
1,Elmwood Ave & Austin St,2018,598,15.2,5,76,42.025784,-87.684107
2,Cuyler Ave & Augusta St,2017,607,14.777777777777779,9,133,41.898168,-87.783055
3,Cuyler Ave & Augusta St,2018,607,7.0,1,7,41.898168,-87.783055
4,Western Ave & Howard St,2018,527,14.666666666666666,3,44,42.018901,-87.690048
5,Ridge Blvd & Howard St,2018,514,13.333333333333334,6,80,42.019276,-87.68451999999999
6,Kilbourn Ave & Irving Park Rd,2018,590,13.0,4,52,41.953733,-87.740569
7,Forest Ave & Chicago Ave,2017,606,12.083333333333334,24,290,41.894355,-87.80022
8,Avers Ave & Belmont Ave,2018,496,11.0,3,33,41.939408,-87.723574
9,Princeton Ave & Garfield Blvd,2018,385,11.0,1,11,41.794982,-87.633124
10,Greenwood Ave & 47th St,2018,252,10.625,8,85,41.809835,-87.59938299999999
11,Kedzie Ave & Bryn Mawr Ave,2018,494,10.0,3,30,41.98239708,-87.70892252
12,Lincoln Ave & Winona St,2018,472,8.88888888888889,9,80,41.974911299999995,-87.69250256
13,Morgan Ave & 14th Pl,2018,137,8.80952380952381,42,370,41.862378,-87.651062
14,Pulaski Rd & Eddy St,2018,488,8.4,5,42,41.94563644,-87.72773681
15,Wells St & 19th St,2018,218,7.75,4,31,41.856802,-87.63387900000001
16,Woodlawn Ave & Lake Park Ave,2018,413,7.5,4,30,41.81409271,-87.59700515
17,Lombard Ave & Madison St,2017,615,7.3478260869565215,23,169,41.87981,-87.779425
18,Clarendon Ave & Junior Ter,2018,245,7.24,25,181,41.961003999999996,-87.649603
19,Kedzie Ave & Palmer Ct,2018,290,7.2,40,288,41.921525,-87.70732199999999
